accession	species
XP_006965674.1	Trichoderma reesei QM6a
XP_003054277.1	Fusarium vanettenii 77-13-4
XP_006969224.1	Trichoderma reesei QM6a
XP_062752973.1	Trichoderma aggressivum f. europaeum
XP_043132456.1	Aspergillus chevalieri
XP_045944448.1	Aspergillus melleus
XP_045938407.1	Aspergillus melleus
XP_041557041.1	Aspergillus puulaauensis
XP_041538079.1	Aspergillus luchuensis
XP_033426814.1	Aspergillus tanneri
XP_070875514.1	glycoside hydrolase family 7 protein [Sodiomyces alcalophilus JCM
XP_064666759.1	Canariomyces notabilis
XP_069301341.1	glycoside hydrolase family 7 protein [Thermothelomyces
XP_067508645.1	Cenococcum geophilum 1.58
XP_066732544.1	Apiospora kogelbergensis
XP_066664452.1	Apiospora hydei
XP_066677180.1	Apiospora marii
XP_066669139.1	Apiospora hydei
XP_066692516.1	Apiospora aurea
XP_007718121.1	Bipolaris zeicola 26-R-13
XP_007717229.1	Bipolaris zeicola 26-R-13
XP_013952935.1	Trichoderma virens Gv29-8
XP_051375947.1	Durotheca rogersii
XP_051310513.1	Hypoxylon trugodes
XP_051317175.1	Hypoxylon trugodes
XP_049116754.1	Hypoxylon fragiforme
XP_049117919.1	Hypoxylon fragiforme
XP_049159384.1	Daldinia loculata
XP_049161402.1	Daldinia loculata
XP_047849575.1	Annulohypoxylon truncatum
XP_047859057.1	Annulohypoxylon truncatum
XP_047863075.1	Daldinia vernicosa
XP_047825301.1	Xylaria bambusicola
XP_047817136.1	glycoside hydrolase family 7 protein [Annulohypoxylon
XP_047819235.1	glycoside hydrolase family 7 protein [Annulohypoxylon
XP_047786351.1	Daldinia caldariorum
XP_047792003.1	Daldinia caldariorum
XP_045951057.1	glycoside hydrolase family 7 protein
XP_018067218.1	Mollisia scopiformis
XP_033680682.1	Trematosphaeria pertusa
XP_033521857.1	glycoside hydrolase family 7 protein [Dothidotthia symphoricarpi
XP_033552739.1	Lindgomyces ingoldianus
XP_033557521.1	Macroventuria anomochaeta
XP_033447249.1	Didymella exigua CBS 183.55
XP_033448586.1	Didymella exigua CBS 183.55
XP_007702164.1	glycoside hydrolase family 7 protein [Bipolaris sorokiniana
XP_007391663.1	glycoside hydrolase family 7 protein [Phanerochaete carnosa
XP_031869432.1	Venustampulla echinocandica
XP_003653757.1	glycoside hydrolase family 7 protein [Thermothielavioides
XP_003649482.1	glycoside hydrolase family 7 protein [Thermothielavioides
XP_058365763.1	Penicillium canescens
XP_058376484.1	Penicillium canescens
XP_058328959.1	Penicillium chermesinum
XP_058318758.1	Penicillium antarcticum
XP_058310701.1	Penicillium cinerascens
XP_057150191.1	Penicillium mononematosum
XP_057136795.1	Penicillium samsonianum
XP_057108664.1	Penicillium vulpinum
XP_057096656.1	Penicillium soppii
XP_057126554.1	Penicillium waksmanii
XP_057088912.1	Penicillium robsamsonii
XP_057050272.1	Penicillium riverlandense
XP_057028499.1	Penicillium paradoxum
XP_056994134.1	Penicillium odoratum
XP_057000552.1	Penicillium odoratum
XP_056967032.1	Penicillium longicatenatum
XP_056975181.1	Penicillium longicatenatum
XP_056952780.1	Penicillium manginii
XP_056928972.1	glycoside hydrolase family 7 protein [Penicillium
XP_056922242.1	Penicillium pulvis
XP_056940693.1	Penicillium malachiteum
XP_056938750.1	glycoside hydrolase family 7 protein [Penicillium
XP_057039288.1	Penicillium psychrosexuale
XP_057079327.1	Penicillium verrucosum
XP_057059258.1	Penicillium taxi
XP_057003611.1	Penicillium subrubescens
XP_057019681.1	Penicillium verhagenii
XP_057007986.1	Penicillium subrubescens
XP_057025380.1	Penicillium verhagenii
XP_056980738.1	Penicillium nucicola
XP_056985926.1	Penicillium nucicola
XP_056809189.1	Penicillium brevicompactum
XP_056832435.1	Penicillium lagena
XP_056836226.1	Penicillium lagena
XP_056481998.1	Penicillium cosmopolitanum
XP_056472900.1	Penicillium argentinense
XP_056474614.1	Penicillium argentinense
XP_056792908.1	Penicillium diatomitis
XP_056736374.1	Penicillium atrosanguineum
XP_056780947.1	Penicillium angulare
XP_056782924.1	Penicillium angulare
XP_056729964.1	Penicillium crustosum
XP_056826533.1	Penicillium maclennaniae
XP_056759936.1	Penicillium daleae
XP_056762359.1	Penicillium daleae
XP_056497208.1	Penicillium citrinum
XP_056584777.1	Penicillium concentricum
XP_056554786.1	Penicillium cataractarum
XP_056560526.1	Penicillium cataractarum
XP_056541997.1	Penicillium canariense
XP_056520636.1	Penicillium bovifimosum
XP_056546637.1	Penicillium canariense
XP_056531129.1	Penicillium coprophilum
XP_049971758.1	Penicillium oxalicum
XP_040644004.1	Penicillium griseofulvum
XP_016593736.1	Penicillium expansum
XP_014531257.1	Penicillium digitatum
XP_067480198.1	glycoside hydrolase family 7 protein [Aspergillus brasiliensis CBS
XP_043150493.1	Aspergillus udagawae
XP_043145665.1	Aspergillus udagawae
XP_040752260.1	glycoside hydrolase family 7 protein [Aspergillus ochraceoroseus
XP_040753517.1	glycoside hydrolase family 7 protein [Aspergillus ochraceoroseus
XP_040672091.1	glycoside hydrolase family 7 protein [Aspergillus versicolor CBS
XP_040706282.1	glycoside hydrolase family 7 protein [Aspergillus sydowii CBS
XP_040686302.1	glycoside hydrolase family 7 protein [Aspergillus wentii DTO
XP_040689330.1	glycoside hydrolase family 7 protein [Aspergillus wentii DTO
XP_040797970.1	glycoside hydrolase family 7 protein [Aspergillus fijiensis CBS
XP_026632073.1	Aspergillus welwitschiae
XP_026600870.1	Aspergillus mulundensis
XP_026610602.1	Aspergillus thermomutatus
XP_026613706.1	Aspergillus thermomutatus
XP_025464797.1	glycoside hydrolase family 7 protein [Aspergillus sclerotioniger
XP_025550540.1	glycoside hydrolase family 7 protein [Aspergillus homomorphus CBS
XP_025579250.1	glycoside hydrolase family 7 protein [Aspergillus ibericus CBS
XP_025428630.1	glycoside hydrolase family 7 protein [Aspergillus saccharolyticus
XP_025403700.1	glycoside hydrolase family 7 protein [Aspergillus heteromorphus CBS
XP_024700745.1	glycoside hydrolase family 7 protein [Aspergillus steynii IBT
XP_024706865.1	glycoside hydrolase family 7 protein [Aspergillus steynii IBT
XP_024691088.1	glycoside hydrolase family 7 protein [Aspergillus campestris IBT
XP_024678968.1	glycoside hydrolase family 7 protein [Aspergillus novofumigatus IBT
XP_024684265.1	glycoside hydrolase family 7 protein [Aspergillus novofumigatus IBT
XP_024671592.1	Aspergillus candidus
XP_024673154.1	Aspergillus candidus
XP_022384332.1	Aspergillus bombycis
XP_022390553.1	Aspergillus bombycis
XP_015409042.1	glycoside hydrolase family 7 protein [Aspergillus nomiae NRRL
XP_015403008.1	glycoside hydrolase family 7 protein [Aspergillus nomiae NRRL
XP_001727881.3	Aspergillus oryzae RIB40
XP_001827330.1	Aspergillus oryzae RIB40
XP_001272622.1	Aspergillus clavatus NRRL 1
XP_001272393.1	Aspergillus clavatus NRRL 1
